Census Enrollment,Census Fill Rate,Count of Migrated Data,Current Enrollment,Current Fill Rate,Enrollment Capacity,Ftef,Ftes,Ftes/Ftef,Number Retained,Number Successful,Retention Rate,Sec. Count,Success Rate,Wsch/Ftef,year,semester
23035.0,0.659008983,873.0,23035.0,0.659008983,34954.0,222.96,3388.44,15.19752422,19886.0,16784.0,0.858264998,873.0,0.7243849809999999,456.1311446,2016,FA
4940.0,0.45555145700000005,212.0,4939.0,0.45545924,10844.0,51.831,756.62,14.597827555,4619.0,4143.0,0.9067530429999999,212.0,0.813309776,439.64036966300006,2016,SU
24250.0,0.663692594,917.0,24250.0,0.663692594,36538.0,221.658,3453.37,15.579721914,21096.708858196,17768.0,0.854429098,917.0,0.719672729,467.80174864,2017,FA
22573.0,0.606360975,900.0,22573.0,0.606360975,37227.0,220.622,3277.43,14.855408799000001,20203.715960248,17130.0,0.857980124,900.0,0.7275121040000001,445.49954220300003,2017,SP
4697.0,0.445171074,204.0,4697.0,0.445171074,10551.0,48.731,702.63,14.418542611,4335.0,3859.0,0.9055776059999999,204.0,0.806141634,433.99478771199995,2017,SU
25753.0,0.68210833,948.0,25753.0,0.68210833,37755.0,228.736,3736.85,16.336956142000002,22022.695227097996,18642.0,0.8476135490000001,948.0,0.717551963,526.296691382,2018,FA
22781.0,0.607007727,907.0,22790.0,0.607247535,37530.0,215.558,3231.18,14.989840320999999,20609.854932382,17533.0,0.854932382,907.0,0.727329296,449.767579955,2018,SP
4705.0,0.443909803,206.0,4705.0,0.443909803,10599.0,45.488,609.09,13.390124868,4470.0,3977.0,0.8990345940000001,206.0,0.7998793240000001,416.37354906800005,2018,SU
26206.0,0.685070452,965.0,26206.0,0.685070452,38253.0,230.48,3796.2,16.470843457,22746.407079646,18812.0,0.867256637,965.0,0.717577052,534.423811177,2019,FA
23752.0,0.622741931,925.0,23752.0,0.622741931,38141.0,220.66,3366.87,15.258180005,20754.737670602,17625.0,0.868835301,925.0,0.73787993,498.663101604,2019,SP
4848.0,0.439249796,219.0,4848.0,0.439249796,11037.0,45.79600000000001,590.72,12.898943139000002,4460.909461664,3929.0,0.9094616640000001,219.0,0.801182708,439.208664512,2019,SU
24001.0,0.692669553,883.0,24001.0,0.692669553,34650.0,208.53,3487.85,16.725890759000002,20566.080129648002,16424.0,0.889844242,883.0,0.7393535609999999,537.534167746,2020,FA
23325.0,0.60054068,941.0,23325.0,0.60054068,38840.0,219.525,3330.54,15.171574990999998,18329.841477849,16314.0,0.774391275,941.0,0.689634765,495.278442091,2020,SP
5349.0,0.535864556,189.0,5349.0,0.535864556,9982.0,41.263000000000005,644.49,15.619077624,4578.295888825,4059.0,0.882648137,189.0,0.78343949,528.124469864,2020,SU
20723.0,0.626792088,826.0,20723.0,0.626792088,33062.0,198.815,2945.49,14.815230239000002,610.6774004680001,420.0,0.286299766,826.0,0.24590163899999998,495.47066368199995,2021,SP
